Player,Team,Rank,Min,Pts,FGM/A,FTM/A,3PM/A,Reb,Ast,Stl,Blk,Tov,Foul,FP,Cost,Value
"Joel Anthony (FC, PHI)",MIA,#10,0.3,0.1,0.0-0.1,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.1,0.1,$0,0
"Russ Smith (PG, MEM)",PHX,#28,0.3,0.1,0.0-0.1,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,$3500,0.03
"Mitch McGary (FC, OKC)",MIL,#26,0.3,0.1,0.0-0.1,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,$3500,0.03
"Bruno Caboclo (SF, TOR)",HOU,#17,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"Lucas Nogueira (C, TOR)",HOU,#17,0.1,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"Terrence Jones (F, HOU)",TOR,#6,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"DeMarre Carroll (F, TOR)",HOU,#17,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$5400,0
"Chuck Hayes (FC, HOU)",TOR,#6,0.1,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$0,0
"Marcus Thornton (PG, HOU)",TOR,#6,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"Jahlil Okafor (C, PHI)",MIA,#10,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$6300,0
"Tyler Johnson (G, MIA)",PHI,#30,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$0,0
